trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.85376851183273,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-105.42962640178256,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-100.87533508903027,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-65.14022283741893,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-121.91718444752354,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-131.3614910407291,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-89.02484675860926,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,9,-38.71241815798825,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-95.33219822325992,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-45.261508776665416,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,12,-59.60863991699683,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-46.29967142240822,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-12.900390868779795,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-40.963360927830735,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-50.35731900451627,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-21.914391286888286,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,14,6.7504470942076455,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,11.670059567577514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,4,30.611993544574798,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-43.265025069560494,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,14,10.678875885219817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,5.14173260053172,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,19.31743908846111,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,3,-36.215462126401555,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,11,-26.61100224142846,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,10.656772070446259,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,13,8.438777026624148,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,11,22.353411633522477,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,6.07108571786032,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,20,18.70133370821239,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
