trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.99428445092232,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.995}",25,0,-158.26986491001617,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.99}",25,0,-145.32586678484466,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.985}",25,0,-105.9909117680211,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.98}",20,0,-151.71607466664915,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.975}",20,0,-96.98203966363292,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.97}",35,0,-149.84642257441837,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.965}",30,3,-131.42565244157245,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.96}",35,0,-161.7346478767052,"{0: 18, 1: 5, 2: 11, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.955}",30,1,-51.57032444273078,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.95}",20,4,15.299996088822073,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.945}",20,0,-111.49825412808075,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.94}",30,0,-143.71362345809774,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-75.84145796988098,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,11,17.755781265283918,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-120.94013936050897,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-112.84534803427769,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-107.58206470588199,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-116.54382221375116,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-164.5557318184523,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-81.07940540887604,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-77.35169856452256,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-56.395916518954905,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-53.38239258050772,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-48.896391530025966,"{0: 23, 1: 5, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8749999999999999}",30,0,-156.04760223698432,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-132.66762311727769,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,7,-37.461370734677,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-168.1218755922358,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,7,-11.145851344586415,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,0.5241831940874386,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8449999999999999}",30,4,-106.72357773218886,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-151.37798034834228,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-77.92490597386498,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
